periode,jeunes,actifs,seniors,"
"

2015,17430,38063,37130,"
"

2014,18190,37690,37345,"
"

2013,18820,37796,37055,"
"

2012,17140,38763,37565,"
"

2011,17470,39196,38450,"
"

2010,18870,39656,37320,"
"

2009,19160,39720,37185,"
"

2008,19560,39533,36870,"
"

2007,18440,38923,36855,"
"

2006,18420,38506,36530,"
"

2005,18220,38116,35180,"
"

2004,19450,37906,34810,"
"

2003,19630,38313,34435,"
"

2002,20120,38703,34600,"
"

2001,19610,37990,33890,"
"

2000,18690,37136,33085,"
"

1999,18070,36430,32795,

