periode, jeunes, actifs, seniors,"
"
2016,9543041,21986856,19144788,"
"
2015,9484934,22125217,18666433,"
"
2014,9437130,22258298,18191451,"
"
2013,9374860,22380086,17714705,"
"
2012,9307242,22460041,17254814,"
"
2011,9284276,22539618,16786200,"
"
2010,9291030,22600320,16302360,"
"
2009,9324563,22652998,15818851,"
"
2008,9358966,22688860,15325054,"
"
2007,9400169,22727028,14831981,"
"
2006,9515441,22705754,14319885,"
"
2005,9648112,22663599,13798252,"
"
2004,9757734,22607890,13236842,"
"
2003,9814026,22577486,12668638,"
"
2002,9840910,22571370,12060652,"
"
2001,9874821,22536842,11447477,"
"
2000,9877208,22551575,10781831,"
"
1999,9901200,22525521,10106944,"
"
